epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,4619.86,1.02052,0.53095,1.06221,0.9808,0.98008,0.99193,0.79357,0.86292,0.38907,0.9838,0.000604,0.000604,0.000604
42,4732.87,1.01266,0.52601,1.06086,0.98366,0.97988,0.99248,0.80126,0.84142,0.38468,0.97802,0.0005941,0.0005941,0.0005941
43,4845.46,1.00971,0.52189,1.05636,0.98222,0.9823,0.99269,0.80046,0.84951,0.38445,0.98186,0.0005842,0.0005842,0.0005842
44,4956.61,1.00818,0.51948,1.05938,0.98584,0.97726,0.99306,0.80331,0.84557,0.37963,0.98145,0.0005743,0.0005743,0.0005743
45,5068.79,0.99573,0.51989,1.05404,0.9842,0.9766,0.99272,0.80655,0.83794,0.38076,0.97655,0.0005644,0.0005644,0.0005644
46,5182.71,1.0062,0.51959,1.05663,0.98276,0.97754,0.99262,0.80531,0.83632,0.3763,0.97551,0.0005545,0.0005545,0.0005545
47,5295.77,0.98984,0.51113,1.05006,0.98217,0.9797,0.99261,0.80456,0.83718,0.37632,0.97517,0.0005446,0.0005446,0.0005446
48,5409.95,0.98547,0.50419,1.04639,0.98407,0.97894,0.99253,0.80608,0.83551,0.37472,0.97689,0.0005347,0.0005347,0.0005347
49,5523.22,0.99222,0.50857,1.05067,0.98266,0.97801,0.99258,0.80725,0.83354,0.37231,0.97626,0.0005248,0.0005248,0.0005248
50,5636.21,0.9775,0.50106,1.04678,0.98166,0.97664,0.99205,0.80763,0.82826,0.37067,0.97673,0.0005149,0.0005149,0.0005149
51,5747.59,0.97625,0.49835,1.04163,0.98333,0.97941,0.99244,0.80979,0.82078,0.36839,0.97556,0.000505,0.000505,0.000505
52,5860.39,0.97539,0.50057,1.04298,0.98584,0.97761,0.99243,0.81037,0.81925,0.36838,0.97585,0.0004951,0.0004951,0.0004951
53,5973.75,0.97189,0.50042,1.04001,0.98384,0.98081,0.99242,0.81098,0.81149,0.36598,0.97435,0.0004852,0.0004852,0.0004852
54,6085.53,0.96469,0.49719,1.03458,0.98597,0.98128,0.99269,0.81081,0.81727,0.36557,0.97603,0.0004753,0.0004753,0.0004753
55,6197.6,0.96311,0.49255,1.0344,0.98327,0.98035,0.99207,0.81079,0.81895,0.36675,0.97531,0.0004654,0.0004654,0.0004654
56,6312.05,0.95832,0.48743,1.03357,0.9831,0.9802,0.99185,0.81214,0.81366,0.3669,0.97253,0.0004555,0.0004555,0.0004555
57,6424.65,0.95245,0.48665,1.03131,0.98359,0.98147,0.99239,0.81394,0.80926,0.36409,0.97166,0.0004456,0.0004456,0.0004456
58,6537.67,0.94893,0.48573,1.03017,0.98398,0.98175,0.99253,0.81428,0.80677,0.36178,0.97163,0.0004357,0.0004357,0.0004357
59,6651.03,0.94985,0.48561,1.02822,0.98586,0.98128,0.99264,0.81505,0.80699,0.35994,0.97267,0.0004258,0.0004258,0.0004258
60,6763.39,0.9417,0.48347,1.02998,0.98682,0.98096,0.99267,0.81487,0.80443,0.35774,0.97121,0.0004159,0.0004159,0.0004159
61,6876.26,0.94879,0.47964,1.02584,0.98814,0.97941,0.99277,0.81667,0.80108,0.35718,0.97079,0.000406,0.000406,0.000406
62,6988.74,0.93711,0.4772,1.02544,0.9887,0.97894,0.99272,0.81758,0.79813,0.35646,0.96951,0.0003961,0.0003961,0.0003961
63,7102.07,0.93419,0.47607,1.02622,0.98885,0.97894,0.99277,0.81943,0.79244,0.35442,0.96704,0.0003862,0.0003862,0.0003862
64,7214.38,0.93055,0.4727,1.02092,0.98958,0.97941,0.99283,0.81928,0.79193,0.3536,0.96711,0.0003763,0.0003763,0.0003763
65,7326.61,0.92897,0.47118,1.01668,0.98913,0.97954,0.99273,0.81935,0.79052,0.35407,0.96687,0.0003664,0.0003664,0.0003664
66,7439.46,0.92235,0.46939,1.01562,0.9882,0.97994,0.99283,0.81988,0.79021,0.35332,0.9667,0.0003565,0.0003565,0.0003565
67,7552.41,0.91702,0.46484,1.01594,0.98861,0.97894,0.99282,0.82053,0.78847,0.35234,0.96533,0.0003466,0.0003466,0.0003466
68,7665.23,0.91893,0.4651,1.01076,0.98819,0.97854,0.99296,0.82103,0.7883,0.35357,0.96482,0.0003367,0.0003367,0.0003367
69,7777.34,0.91045,0.45787,1.00954,0.98721,0.98081,0.99304,0.82097,0.78628,0.35261,0.96375,0.0003268,0.0003268,0.0003268
70,7890.24,0.90026,0.45589,1.00735,0.98729,0.98123,0.99308,0.82369,0.78481,0.35156,0.96335,0.0003169,0.0003169,0.0003169
71,8004.24,0.90173,0.45474,1.00642,0.98609,0.98128,0.99312,0.82391,0.78413,0.35083,0.96341,0.000307,0.000307,0.000307
